"","Var1","Freq"
"1","Aak1",2
"2","Abca1",1
"3","AC130827.2",1
"4","Acin1",1
"5","Acvr2b",1
"6","Adamts17",1
"7","Adcy6",1
"8","Anp32e",1
"9","Arhgef12",1
"10","Atp1a1",1
"11","Axin2",1
"12","B4galt5",1
"13","Brd3",1
"14","Btnl6",1
"15","Calm1",1
"16","Cap1",1
"17","Ceacam1",1
"18","Cenpb Spef1",1
"19","Clpx",1
"20","Cnppd1",1
"21","Cpne3",1
"22","Cyb5r3",2
"23","Ddx6",1
"24","Dkk2",1
"25","Dmbt1",1
"26","Dnttip2",1
"27","Dst",1
"28","Dync1i2",1
"29","Eef1a1",1
"30","Ehmt2",1
"31","Eif2ak2",1
"32","Eif3d",1
"33","Ext1",1
"34","Fads2",1
"35","Fhl3",1
"36","Fosl2",1
"37","Gadd45a",1
"38","Gdf11",1
"39","Gm23997",1
"40","Gprin2",1
"41","Gpt2",1
"42","H19",1
"43","Hk2",1
"44","Hspa5",1
"45","Hsph1",1
"46","Huwe1",1
"47","Ifi47 Olfr56",1
"48","Igfbp5",1
"49","Ipo8",1
"50","Klf13",1
"51","Klf3",1
"52","Knop1",1
"53","Lig1",1
"54","Lmo7",1
"55","Luc7l3",1
"56","Malat1",6
"57","Mbnl1",1
"58","Mecom",1
"59","Mef2a",1
"60","Mllt4",1
"61","mt-Co1",1
"62","mt-Cytb",2
"63","mt-Nd1",1
"64","mt-Nd2",1
"65","mt-Nd4",1
"66","mt-Nd5",2
"67","mt-Rnr2",1
"68","mt-Tc",1
"69","Mt3",1
"70","Mt4",1
"71","Muc3",1
"72","Myo19",1
"73","n-R5s152",1
"74","n-R5s46",1
"75","Naip5",1
"76","Neat1",1
"77","Nedd4",1
"78","Notum",1
"79","Peak1",1
"80","Phf14",1
"81","Pigr",1
"82","Ppp1r15b",1
"83","Ppp4r2",1
"84","Prkcsh",1
"85","Prox1",1
"86","Prrc2c",1
"87","Psme1",1
"88","Rad21",1
"89","Rangap1",1
"90","Rbbp6",1
"91","Rbm25",1
"92","Rbms1",1
"93","Reg3g",2
"94","Rere",1
"95","Rnf213",1
"96","RP23-16A20.1",1
"97","RP23-189B9.3 AC130827.2",1
"98","RP23-349B4.7",1
"99","RP24-288B1.2",1
"100","RP24-342G5.6",1
"101","Scd2",1
"102","Sh3bgrl",1
"103","Slc12a2",1
"104","Slc20a2",1
"105","Slc25a20",1
"106","Slc25a36",1
"107","Slc30a2",1
"108","Slc39a8",1
"109","Slc40a1",1
"110","Slc44a5",1
"111","Slu7",1
"112","Smap2",1
"113","Smarca4",1
"114","Sort1",1
"115","Sos1",1
"116","Sox9",1
"117","Sparcl1",1
"118","Spock2",1
"119","Spop",1
"120","Sptbn1",1
"121","Srrm1",1
"122","St13",1
"123","St8sia6",1
"124","Tcof1",1
"125","Tenm4",1
"126","Trim26",1
"127","Trim6",1
"128","Ube3a",1
"129","Uck2",1
"130","Wnk3",1
"131","Xist",1
"132","Ywhab",1
"133","Ywhae",1
"134","Zc3h13",1
"135","Zc3h18 AC114005.5",1
"136","Zfand5",1
"137","Zfp217",1
"138","Zfp516",1
