"","c..Abcc4....Adam10....Agr2....Ahcyl1....Ahnak....Akr1a1....Alcam..."
"1","Abcc4"
"2","Adam10"
"3","Agr2"
"4","Ahcyl1"
"5","Ahnak"
"6","Akr1a1"
"7","Alcam"
"8","Amot"
"9","Ankrd52"
"10","Ap4s1"
"11","Apaf1"
"12","Apcdd1"
"13","Aqp4"
"14","Arf4"
"15","Arhgap32"
"16","Armc1"
"17","Aspscr1"
"18","Atp13a3"
"19","Atp6ap2"
"20","Atp6v0a2"
"21","B2m"
"22","B3gnt7"
"23","Bag1"
"24","Brd4"
"25","Brd7"
"26","Bsg"
"27","Btg2"
"28","Btnl6"
"29","C1galt1"
"30","Calm2"
"31","Canx"
"32","Casp6"
"33","Ccl6"
"34","Ccnd1"
"35","Cd151"
"36","Cd164"
"37","Cd24a"
"38","Cd38"
"39","Cd82"
"40","Cdc42se2"
"41","Cdh17"
"42","Cdk13"
"43","Cds1"
"44","Cers6"
"45","Cfl1"
"46","Chd1"
"47","Clca1"
"48","Clcn3"
"49","Cldn2"
"50","Cldn4"
"51","Cmpk1"
"52","Cs"
"53","Csnk1a1"
"54","Ctsd"
"55","Cxcl5"
"56","Ddit4"
"57","Ddx5"
"58","Dhcr24"
"59","Dkk3"
"60","Dnajc5"
"61","Dock1"
"62","Drosha"
"63","Dsp"
"64","Eif4e2"
"65","Eif4ebp2"
"66","Eif4g2"
"67","Eno1"
"68","Eps15l1"
"69","Eps8l2"
"70","Erbb2ip"
"71","Erbb3"
"72","Ets2"
"73","Exoc4"
"74","Exoc5"
"75","Fam135a"
"76","Fam160a2"
"77","Fam46c"
"78","Flt1"
"79","Focad"
"80","Frem2"
"81","Gbf1"
"82","Gfpt1"
"83","Gm25414"
"84","Gnai3"
"85","Gnas"
"86","Gprc5a"
"87","Gprin2"
"88","Grhl2"
"89","Gsdmd"
"90","Gsr"
"91","H19"
"92","H2-D1"
"93","H3f3b"
"94","Herc1"
"95","Herc2"
"96","Hid1"
"97","Hipk2"
"98","Hist1h2bc"
"99","Hnrnpa1"
"100","Hnrnpa2b1"
"101","Hnrnpa3"
"102","Hnrnpf"
"103","Hnrnph1"
"104","Hnrnpk"
"105","Hnrnpl"
"106","Hnrnpm"
"107","Hnrnpu"
"108","Homer1"
"109","Ifit2"
"110","Inpp4b"
"111","Iqgap2"
"112","Irf1"
"113","Irf2bp2"
"114","Ist1"
"115","Itga6"
"116","Itln1"
"117","Itm2b"
"118","Jun"
"119","Kdm6a"
"120","Khnyn"
"121","Kif26b"
"122","Klf5"
"123","Lad1"
"124","Lamp2"
"125","Laptm4a"
"126","Ldha"
"127","Lyz1"
"128","Malat1"
"129","March6"
"130","Mat2a"
"131","Mbnl2"
"132","Mical2"
"133","Midn"
"134","Misp"
"135","Mon2"
"136","Ms4a8a"
"137","mt-Rnr2"
"138","Mt2"
"139","Muc13"
"140","Muc2"
"141","Muc3"
"142","Myadm"
"143","n-R5s46"
"144","Naa15"
"145","Nap1l1"
"146","Ncapg2"
"147","Ndufa4"
"148","Neat1"
"149","Nkd1"
"150","Nme1"
"151","Notch1"
"152","Nrxn1"
"153","Nsd1"
"154","Nus1"
"155","Oasl2"
"156","Pabpc1"
"157","Pdia6"
"158","Pfkfb3"
"159","Picalm"
"160","Pip5k1a"
"161","Pla2g2a"
"162","Plxnb2"
"163","Pmp22"
"164","Pon2"
"165","Ppp1cb"
"166","Prdx2"
"167","Prpf38b"
"168","Psap"
"169","Psmd14"
"170","Ptprz1"
"171","Rab14"
"172","Rab4b"
"173","Rab5c"
"174","Rab6a"
"175","Rap1b"
"176","Rbm39"
"177","Rbms3"
"178","Reg4"
"179","Rhoq"
"180","Rnf10"
"181","Rnf128"
"182","Rnf149"
"183","Rpl38"
"184","Rpl41"
"185","Rragc"
"186","Rrbp1"
"187","Rsad2"
"188","S100a10"
"189","Sec61a1"
"190","Sema7a"
"191","Serp1"
"192","Sfpq"
"193","Sfswap"
"194","Slc16a1"
"195","Slc16a12"
"196","Slc35a3"
"197","Slc38a2"
"198","Slc44a1"
"199","Slc6a14"
"200","Smad7"
"201","Smarcc2"
"202","Smoc2"
"203","Smpdl3a"
"204","Snrnp70"
"205","Sox4"
"206","Sparc"
"207","Sppl2a"
"208","Sprr2a3"
"209","Srsf2"
"210","St3gal6"
"211","St6galnac6"
"212","Sypl"
"213","Syt5"
"214","Syvn1"
"215","Taldo1"
"216","Tfrc"
"217","Thra"
"218","Tmem168"
"219","Tmem253"
"220","Tmprss2"
"221","Tmsb10"
"222","Tnfrsf11b"
"223","Tnfsf10"
"224","Tox"
"225","Tpm4"
"226","Trim2"
"227","Trim44"
"228","Trp53bp1"
"229","Trp53inp1"
"230","Tspan8"
"231","Txnrd1"
"232","Ube2d3"
"233","Ube2z"
"234","Ucp2"
"235","Upf1"
"236","Vdac1"
"237","Vdac2"
"238","Vmp1"
"239","Wif1"
"240","Wnk2"
"241","Xist"
"242","Ywhah"
"243","Zbtb20"
"244","Zfp36"
"245","Znrf3"
